baseMean log2FoldChange lfcSE stat pvalue padj
CHL1 865.059762053739 -2.31715812370691 0.483821479768456 -4.7892832803038 1.67378055797218e-06 0.000635302497749614
CHL1-AS2 9.26439507183315 -4.56856050737547 1.02145513437533 -4.47260026762639 7.72741466629458e-06 0.00179766254091702
CHRNB4 21.4068516961434 -1.67945528491959 0.417840195816699 -4.01937224262727 5.83534136169029e-05 0.00660982253194604
CKMT1B 40.5537540796529 -2.62573404176535 0.710333362493735 -3.69648137115129 0.000218608292336036 0.0157129249325254
CLC 3.80019147533734 1.99750700606102 0.587811866699057 3.39820803087612 0.000678288207022817 0.0343671319881467
CLCA2 5.08554069978756 -1.86257978523413 0.507667819906338 -3.66889472249347 0.000243601360261303 0.0169459627570142
CLCNKA 395.050336315517 -2.84800266631919 0.617571773773532 -4.61161404595472 3.99554343183214e-06 0.00120060530760678
CLCNKB 1164.27802396965 -3.4922839006543 0.699253400371399 -4.99430378000224 5.90483916663146e-07 0.000283277571418871
CLDN16 285.535544091665 -2.34853177929111 0.625910819981024 -3.7521827460377 0.000175301600430879 0.0138417887785477
CLEC3A 2.20377298508707 -3.18973132171224 0.79549838788455 -4.00972694639221 6.07890027195931e-05 0.00674299795739342
CLMP 390.379796933138 -2.27674707922113 0.506661358408482 -4.4936268405643 7.00202829486322e-06 0.00164661828434093
CLSTN2 925.862127862365 -1.66771470662315 0.419713600517163 -3.9734588170796 7.08364105483721e-05 0.00754892520489105
CNTN6 47.6456309314664 -1.70668125385426 0.505358444836977 -3.37716975206543 0.000732358379192539 0.0357665316790758
COL26A1 58.6251771631067 -2.19490249867988 0.607325169188346 -3.61404830564364 0.000301452859577463 0.0195267443621509
COL4A6 156.529815002389 -2.72906179821229 0.543979740175157 -5.01684455625784 5.2527032043546e-07 0.000258277804150481
COL7A1 502.02732298681 -1.76718315033506 0.438035215079713 -4.03434036693481 5.47558997830637e-05 0.00633499407383199
COLGALT2 157.190084572131 -1.47994273679515 0.383900734710203 -3.85501407782489 0.000115722969793297 0.0104055692071787
CORO6 125.314571779875 -1.80654866768787 0.43146826865449 -4.18697920317871 2.82691717004963e-05 0.00405035450159098
CPA4 164.414949595148 -2.47921927176806 0.594936364741584 -4.16720076078209 3.08362905996683e-05 0.00418836729888059
CPEB1 127.843072800362 -2.53256416660955 0.532963780665955 -4.75185042301567 2.01563462592952e-06 0.000714889428393198
CPN2 490.708696353986 -3.77995615788126 0.722466491775813 -5.23201588019698 1.67671341999611e-07 0.00011336154638005
CPNE7 156.799992525704 -1.68225711600336 0.442217402453781 -3.80414046726526 0.000142297420878439 0.012025799612129
CPXM1 427.714446640858 -1.75259079643813 0.446743047880455 -3.92303988781289 8.74386680808636e-05 0.00863806202707526
CRHBP 331.283543485354 -1.58998194456678 0.482805204868816 -3.29321624649592 0.000990482627408541 0.0434049386848729
CRP 77.4740397803639 -3.87111452405332 0.712623002065722 -5.43220540570806 5.56617975912553e-08 5.23583909081221e-05
CSMD3 5.50585699661238 -2.8637459405905 0.68784742807412 -4.16334469492546 3.1361936788475e-05 0.00418836729888059
CT75 28.9389267704786 -1.52420394863788 0.399256708711596 -3.81760385080692 0.000134754070585536 0.0116151566419047
CWH43 179.102754798071 -2.54880930870495 0.62197932915204 -4.09790034691314 4.16914686224811e-05 0.00518387887153666
CXCL5 165.988380068187 -2.51744797153823 0.595534897283471 -4.22720479189641 2.36612300033563e-05 0.0037295436504681
CYP17A1 387.0400013524 -1.83395388436397 0.544907728923316 -3.36562281468769 0.000763710606314971 0.0366848847660955
CYP26C1 11.677667048847 -1.85109315882213 0.45399044164138 -4.07738355047652 4.55453275405948e-05 0.00557063968822962
CYP2C9 152.712503980996 -2.1126821433754 0.554318401637025 -3.8113151884119 0.000138229381452098 0.0117278143832006
CYP4F12 145.13876931707 -1.32055054574894 0.37059196157698 -3.56335453184035 0.000366145635732897 0.0218827647212189
CYP4F3 498.308162574386 -1.68454205264054 0.518109775503051 -3.25132265841724 0.00114869413126593 0.048086532086432
CYSLTR2 1052.42157155678 -2.29283422437773 0.47296057718602 -4.84783369899335 1.24816963456803e-06 0.000519310577766911
DDN 50.4140449252245 -2.04290731763902 0.565867412804625 -3.61022259174405 0.000305934347486177 0.0197578794264581
DDX43 64.665905008384 -2.08251957909633 0.473038025869721 -4.40243588296615 1.07042229183995e-05 0.00216601636994615
DHRS2 100.113796284701 -2.03139145168692 0.547707219268709 -3.70890026682358 0.000208161394174595 0.0152147694694843
DIRAS1 115.344045459303 -2.75750768243413 0.538305022419094 -5.12257468830988 3.01391651948595e-07 0.000176232659186699
DLGAP2 25.1819850241976 -1.62748705181738 0.437998779254907 -3.71573421867967 0.000202614477321333 0.014910082370228
DLL3 4.65025399081118 -1.88367081660279 0.578968033502889 -3.25349709759648 0.00113993889817881 0.0478885010914537
DMBX1 4.18861750156915 -2.4642566336059 0.730887485102977 -3.37159505920217 0.000747342429009895 0.0363342774193912
DMRT2 208.696555634912 -3.60043643877973 0.829026876023337 -4.34296708937863 1.40571198686801e-05 0.00255567889377223
DNAJC12 258.773768442071 -1.38440399879133 0.335386358159757 -4.12778863871347 3.66268535493957e-05 0.00477362636470588
DNTT 5.05556335753256 -3.44473017983062 0.874216050961452 -3.94036482862805 8.13577836551676e-05 0.00822511985691379
DOCK3 79.9153009505649 -1.63857309459773 0.40810012686381 -4.01512517820058 5.9414252213478e-05 0.00669493409707602
DPP10 8.29359809840049 -2.57477264284871 0.717334741425638 -3.58936002141983 0.000331490771575916 0.0204324867323218
DPP6 139.517460377768 -1.97277851451995 0.53508357792893 -3.68686051281128 0.000227037720557417 0.0161577667245385
DPPA2 1.93875033907598 -3.17674638755086 0.884658683718329 -3.59092884749472 0.000329501588117505 0.0204324867323218
DPYSL4 87.8157620982651 -1.95732840427425 0.476557708827685 -4.10722220628684 4.00445947909892e-05 0.00503700469943635
DUSP9 289.808689141501 -2.45194768992423 0.731116212336136 -3.35370444335999 0.000797374840745376 0.0375026188685352
DYDC2 9.57317387644828 -2.09287835386301 0.617972003310052 -3.38668797721077 0.000707417946234536 0.0348992759126972
EDN3 6.31992036511376 -2.3504319583006 0.700453418798656 -3.35558638907326 0.000791969169134386 0.0373295271769552
EFNA2 5.8395735342441 -2.18577463336612 0.570567165379169 -3.8308805097706 0.000127685506260605 0.0111390158385008
EHF 228.739237690044 -2.58784072435393 0.635412507570087 -4.07269402714501 4.64724576233602e-05 0.00562660689330516
ELF5 88.9130204673505 -4.27377896762947 0.824572524046806 -5.18302374017361 2.18317237467634e-07 0.000134951240931779
ELSPBP1 2.32403547272744 -3.28582759375551 0.914504053314817 -3.59301588860686 0.000326872648264766 0.0203800857210611
