"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"hsa-mir-1246" 0.01148486551132 0.265203981298502 4.52180035635356 0.0586500863369312 0.953230816185235 0.999468981208449
"hsa-mir-1247" 28.5479233796004 0.148039317483241 0.248335942136947 0.596125217354171 0.551091578980167 0.999468981208449
"hsa-mir-1248" 3.08565497621765 0.364528380286981 0.212980551984399 1.71155712054725 0.0869783161369163 0.999468981208449
"hsa-mir-1249" 3.67361405894056 0.0116498620705556 0.13886123837295 0.0838957091774357 0.933139351115223 0.999468981208449
"hsa-mir-1250" 0.189962023252162 -0.105204964860362 0.44167942535478 -0.238193039614322 0.811731375368721 0.999468981208449
"hsa-mir-1251" 24.5226084885626 0.187895212509461 0.298184873633341 0.630129926511644 0.528609581217452 0.999468981208449
"hsa-mir-1252" 0.0113220002111257 0.160790646103251 4.13146512136352 0.0389185534380561 0.968955324270107 0.999468981208449
"hsa-mir-1253" 0.00207093414816251 0.147045048424 4.52180409950078 0.0325191107770975 0.974058075892459 0.999468981208449
"hsa-mir-1254-1" 0.483353211678368 0.0676257783277164 0.284183745793888 0.237964976282507 0.811908258846791 0.999468981208449
"hsa-mir-1254-2" 0.388605458777511 0.501529344661181 0.283994046921252 1.76598541447684 0.0773982958926186 0.999468981208449
"hsa-mir-1255a" 0.735301711711973 -0.268321989260045 0.249939946579973 -1.07354583743655 0.28302628408056 0.999468981208449
"hsa-mir-1256" 0.163187103936776 0.0759258601357039 0.511068352743139 0.148563024355108 0.881898451443916 0.999468981208449
"hsa-mir-1257" 0.000994416508247439 0.14704504844762 4.52180409950078 0.0325191107823213 0.974058075888294 0.999468981208449
"hsa-mir-1258" 0.688717447244006 1.64725014251003 0.603386446700495 2.73000852358834 0.00633326880490628 0.594535609060577
"hsa-mir-125a" 2493.78898239549 -0.0951671440158467 0.0812306831243579 -1.1715664617784 0.24137115977256 0.999468981208449
"hsa-mir-125b-1" 666.466541210494 0.0282533519860853 0.108786250807815 0.259714364419072 0.795084111561536 0.999468981208449
"hsa-mir-125b-2" 708.558664660809 0.0456671783530559 0.105795602581917 0.431654787520078 0.665992332449758 0.999468981208449
"hsa-mir-126" 30519.9694274227 -0.0863646734589925 0.099385443851818 -0.868987148538177 0.384854160098911 0.999468981208449
"hsa-mir-1260a" 0.00216454213415689 0.139530929415221 4.52180398925577 0.0308573590864972 0.975383296234637 0.999468981208449
"hsa-mir-1260b" 0.0682158975627874 0.107559047384296 0.996198389346472 0.107969505406305 0.914019881929512 0.999468981208449
"hsa-mir-1262" 2.7327295008008 -0.233101465016082 0.168860842754138 -1.38043528158555 0.167452663370146 0.999468981208449
"hsa-mir-1263" 0.0152269604637883 0.133325982315283 3.40671750426458 0.0391362013869313 0.968781798534349 0.999468981208449
"hsa-mir-1264" 0.0281220480226849 0.0974112769024446 2.02740872265745 0.0480471825013959 0.961678639805107 0.999468981208449
"hsa-mir-1265" 0.00398391459687903 0.188263130853158 4.52180284374596 0.0416345288281513 0.966790047072322 0.999468981208449
"hsa-mir-1266" 11.7585154131946 -0.226596948273548 0.135216215361952 -1.6758119406536 0.0937750345124731 0.999468981208449
"hsa-mir-1267" 0.0062411354522927 0.136054264495228 4.52180393843753 0.0300884926342562 0.97599647812489 0.999468981208449
"hsa-mir-1268b" 0.000410604661235596 0.148775818859389 4.52180412497565 0.0329018716307599 0.97375284025983 0.999468981208449
"hsa-mir-1269a" 522.032211012864 -0.615238307385682 0.438933510116717 -1.40166629615972 0.161014919658368 0.999468981208449
"hsa-mir-1269b" 55.4004599597587 0.892305390009404 0.661244562249582 1.34943323688552 0.177197851140878 0.999468981208449
"hsa-mir-127" 514.614288381174 0.0200444521496697 0.144673463036756 0.138549611856441 0.889806063061965 0.999468981208449
"hsa-mir-1270" 44.6446410457799 0.0990021731398439 0.163360620471722 0.606034507300255 0.544491839145674 0.999468981208449
